date,bidclose
2019-02-08 15:00:00,109.721
2019-02-08 16:00:00,109.757
2019-02-08 17:00:00,109.715
2019-02-08 18:00:00,109.779
2019-02-08 19:00:00,109.766
2019-02-08 20:00:00,109.791
2019-02-08 21:00:00,109.721
2019-02-10 19:00:00,109.684
2019-02-10 20:00:00,109.713
2019-02-10 21:00:00,109.729
2019-02-10 22:00:00,109.794
2019-02-10 23:00:00,109.808
2019-02-11 00:00:00,109.823
2019-02-11 01:00:00,109.797
2019-02-11 02:00:00,109.891
2019-02-11 03:00:00,109.963
2019-02-11 04:00:00,109.991
2019-02-11 05:00:00,109.977
2019-02-11 06:00:00,109.97
2019-02-11 07:00:00,109.974
2019-02-11 08:00:00,110.083
2019-02-11 09:00:00,110.245
2019-02-11 10:00:00,110.182
2019-02-11 11:00:00,110.116
2019-02-11 12:00:00,110.214
2019-02-11 13:00:00,110.358
2019-02-11 14:00:00,110.401
2019-02-11 15:00:00,110.387
2019-02-11 16:00:00,110.401
2019-02-11 17:00:00,110.448
2019-02-11 18:00:00,110.426
2019-02-11 19:00:00,110.393
2019-02-11 20:00:00,110.391
2019-02-11 21:00:00,110.361
2019-02-11 22:00:00,110.381
2019-02-11 23:00:00,110.388
2019-02-12 00:00:00,110.502
2019-02-12 01:00:00,110.436
2019-02-12 02:00:00,110.47
2019-02-12 03:00:00,110.642
2019-02-12 04:00:00,110.587
2019-02-12 05:00:00,110.568
2019-02-12 06:00:00,110.524
2019-02-12 07:00:00,110.612
2019-02-12 08:00:00,110.614
2019-02-12 09:00:00,110.543
2019-02-12 10:00:00,110.48
2019-02-12 11:00:00,110.527
2019-02-12 12:00:00,110.399
2019-02-12 13:00:00,110.428
2019-02-12 14:00:00,110.463
2019-02-12 15:00:00,110.505
2019-02-12 16:00:00,110.502
2019-02-12 17:00:00,110.51
2019-02-12 18:00:00,110.516
2019-02-12 19:00:00,110.506
2019-02-12 20:00:00,110.467
2019-02-12 21:00:00,110.458
2019-02-12 22:00:00,110.458
2019-02-12 23:00:00,110.508
2019-02-13 00:00:00,110.531
2019-02-13 01:00:00,110.58
2019-02-13 02:00:00,110.613
2019-02-13 03:00:00,110.643
2019-02-13 04:00:00,110.594
2019-02-13 05:00:00,110.623
2019-02-13 06:00:00,110.617
2019-02-13 07:00:00,110.681
2019-02-13 08:00:00,110.667
2019-02-13 09:00:00,110.681
2019-02-13 10:00:00,110.689
2019-02-13 11:00:00,110.616
2019-02-13 12:00:00,110.724
2019-02-13 13:00:00,110.846
2019-02-13 14:00:00,110.805
2019-02-13 15:00:00,110.869
2019-02-13 16:00:00,110.848
2019-02-13 17:00:00,110.883
2019-02-13 18:00:00,110.925
2019-02-13 19:00:00,110.986
2019-02-13 20:00:00,110.992
2019-02-13 21:00:00,110.996
2019-02-13 22:00:00,111.025
2019-02-13 23:00:00,110.925
2019-02-14 00:00:00,110.934
2019-02-14 01:00:00,110.967
2019-02-14 02:00:00,110.958
2019-02-14 03:00:00,111.063
2019-02-14 04:00:00,111.02
2019-02-14 05:00:00,111.021
2019-02-14 06:00:00,111.038
2019-02-14 07:00:00,111.06
2019-02-14 08:00:00,111.056
2019-02-14 09:00:00,110.99
2019-02-14 10:00:00,111.037
2019-02-14 11:00:00,111.047
2019-02-14 12:00:00,111.031
2019-02-14 13:00:00,110.6
2019-02-14 14:00:00,110.609
2019-02-14 15:00:00,110.697
2019-02-14 16:00:00,110.677
2019-02-14 17:00:00,110.583
2019-02-14 18:00:00,110.613
2019-02-14 19:00:00,110.477
2019-02-14 20:00:00,110.512
2019-02-14 21:00:00,110.461
2019-02-14 22:00:00,110.481
2019-02-14 23:00:00,110.535
2019-02-15 00:00:00,110.372
2019-02-15 01:00:00,110.321
2019-02-15 02:00:00,110.266
2019-02-15 03:00:00,110.304
2019-02-15 04:00:00,110.295
2019-02-15 05:00:00,110.331
2019-02-15 06:00:00,110.392
2019-02-15 07:00:00,110.31
2019-02-15 08:00:00,110.339
2019-02-15 09:00:00,110.394
2019-02-15 10:00:00,110.45
2019-02-15 11:00:00,110.411
2019-02-15 12:00:00,110.51
2019-02-15 13:00:00,110.563
2019-02-15 14:00:00,110.416
2019-02-15 15:00:00,110.528
2019-02-15 16:00:00,110.541
2019-02-15 17:00:00,110.554
2019-02-15 18:00:00,110.431
2019-02-15 19:00:00,110.444
2019-02-15 20:00:00,110.399
2019-02-15 21:00:00,110.45
2019-02-17 19:00:00,110.402
2019-02-17 20:00:00,110.415
2019-02-17 21:00:00,110.445
2019-02-17 22:00:00,110.492
2019-02-17 23:00:00,110.568
2019-02-18 00:00:00,110.515
2019-02-18 01:00:00,110.516
2019-02-18 02:00:00,110.526
2019-02-18 03:00:00,110.501
2019-02-18 04:00:00,110.537
2019-02-18 05:00:00,110.525
2019-02-18 06:00:00,110.549
2019-02-18 07:00:00,110.548
2019-02-18 08:00:00,110.573
2019-02-18 09:00:00,110.536
2019-02-18 10:00:00,110.542
