date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_cl,bid_ho,bid_co
2019-01-31 00:00:00,108.971,108.935,108.973,108.835,16684,0.13800000000000523,0.10000000000000853,0.001999999999995339,-0.036000000000001364
2019-01-31 01:00:00,108.935,108.914,108.997,108.866,11242,0.13100000000000023,0.04800000000000182,0.06199999999999761,-0.021000000000000796
2019-01-31 02:00:00,108.914,108.861,108.919,108.842,7113,0.07699999999999818,0.019000000000005457,0.0049999999999954525,-0.05299999999999727
2019-01-31 03:00:00,108.861,108.878,108.903,108.765,10449,0.13800000000000523,0.11299999999999955,0.04200000000000159,0.016999999999995907
2019-01-31 04:00:00,108.878,108.812,108.877,108.798,4795,0.07899999999999352,0.013999999999995794,-0.0010000000000047748,-0.0660000000000025
2019-01-31 05:00:00,108.812,108.731,108.815,108.69,7574,0.125,0.04099999999999682,0.0030000000000001137,-0.08100000000000307
2019-01-31 06:00:00,108.731,108.788,108.8,108.699,6016,0.10099999999999909,0.08899999999999864,0.06900000000000261,0.05700000000000216
2019-01-31 07:00:00,108.788,108.73,108.801,108.671,10393,0.12999999999999545,0.0589999999999975,0.01300000000000523,-0.057999999999992724
2019-01-31 08:00:00,108.73,108.726,108.767,108.627,11529,0.14000000000000057,0.09900000000000375,0.03699999999999193,-0.0040000000000048885
2019-01-31 09:00:00,108.726,108.556,108.767,108.516,11864,0.25099999999999056,0.03999999999999204,0.04099999999999682,-0.1700000000000017
2019-01-31 10:00:00,108.556,108.592,108.62,108.52,10603,0.10000000000000853,0.07200000000000273,0.06400000000000716,0.036000000000001364
2019-01-31 11:00:00,108.592,108.634,108.658,108.561,6876,0.0969999999999942,0.07299999999999329,0.0660000000000025,0.04200000000000159
2019-01-31 12:00:00,108.634,108.647,108.668,108.546,9287,0.12199999999999989,0.10099999999999909,0.034000000000006025,0.01300000000000523
