date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_co
2019-04-03 10:00:00,111.465,111.5,111.506,111.44,4600,0.0660000000000025,0.03499999999999659
2019-04-03 11:00:00,111.5,111.481,111.531,111.469,4882,0.06200000000001182,-0.019000000000005457
2019-04-03 12:00:00,111.481,111.453,111.493,111.403,11732,0.0899999999999892,-0.027999999999991587
2019-04-03 13:00:00,111.453,111.409,111.469,111.374,11355,0.09499999999999886,-0.04399999999999693
2019-04-03 14:00:00,111.409,111.476,111.484,111.317,15432,0.1670000000000016,0.06699999999999307
2019-04-03 15:00:00,111.476,111.475,111.504,111.422,9296,0.08200000000000784,-0.0010000000000047748
2019-04-03 16:00:00,111.475,111.465,111.481,111.42,6541,0.06099999999999284,-0.009999999999990905
2019-04-03 17:00:00,111.465,111.422,111.496,111.404,7404,0.09199999999999875,-0.043000000000006366
2019-04-03 18:00:00,111.422,111.456,111.494,111.408,8362,0.08599999999999852,0.034000000000006025
2019-04-03 19:00:00,111.456,111.479,111.488,111.422,9928,0.0660000000000025,0.022999999999996135
2019-04-03 20:00:00,111.479,111.476,111.508,111.469,2333,0.03900000000000148,-0.0030000000000001137
2019-04-03 21:00:00,111.476,111.449,111.484,111.428,10838,0.055999999999997385,-0.027000000000001023
2019-04-03 22:00:00,111.449,111.459,111.46,111.405,3014,0.05499999999999261,0.010000000000005116
2019-04-03 23:00:00,111.459,111.391,111.466,111.385,6026,0.08099999999998886,-0.06799999999999784
2019-04-04 00:00:00,111.391,111.473,111.516,111.35,9671,0.16600000000001103,0.08199999999999363
2019-04-04 01:00:00,111.473,111.475,111.507,111.451,5077,0.056000000000011596,0.001999999999995339
2019-04-04 02:00:00,111.475,111.424,111.475,111.396,7226,0.07899999999999352,-0.05099999999998772
2019-04-04 03:00:00,111.424,111.404,111.427,111.365,5554,0.06200000000001182,-0.020000000000010232
2019-04-04 04:00:00,111.404,111.399,111.405,111.36,4590,0.045000000000001705,-0.0049999999999954525
2019-04-04 05:00:00,111.399,111.421,111.441,111.389,4215,0.05200000000000671,0.02200000000000557
2019-04-04 06:00:00,111.421,111.363,111.426,111.328,7417,0.09799999999999898,-0.058000000000006935
2019-04-04 07:00:00,111.363,111.348,111.43,111.334,8204,0.09600000000000364,-0.015000000000000568
2019-04-04 08:00:00,111.348,111.408,111.427,111.334,5816,0.09300000000000352,0.060000000000002274
2019-04-04 09:00:00,111.408,111.404,111.429,111.37,6410,0.0589999999999975,-0.0040000000000048885
2019-04-04 10:00:00,111.404,111.396,111.423,111.368,5068,0.05500000000000682,-0.007999999999995566
2019-04-04 11:00:00,111.396,111.406,111.426,111.391,4991,0.03499999999999659,0.010000000000005116
2019-04-04 12:00:00,111.406,111.476,111.499,111.395,9830,0.1039999999999992,0.06999999999999318
2019-04-04 13:00:00,111.476,111.566,111.623,111.465,15142,0.15800000000000125,0.09000000000000341
2019-04-04 14:00:00,111.566,111.561,111.605,111.521,11572,0.08400000000000318,-0.0049999999999954525
2019-04-04 15:00:00,111.561,111.548,111.579,111.509,8975,0.06999999999999318,-0.01300000000000523
2019-04-04 16:00:00,111.548,111.542,111.556,111.494,10131,0.06199999999999761,-0.006000000000000227
2019-04-04 17:00:00,111.542,111.529,111.555,111.502,6116,0.05300000000001148,-0.01300000000000523
2019-04-04 18:00:00,111.529,111.59,111.596,111.527,4617,0.06900000000000261,0.06100000000000705
2019-04-04 19:00:00,111.59,111.581,111.593,111.562,5707,0.03100000000000591,-0.009000000000000341
2019-04-04 20:00:00,111.581,111.649,111.675,111.578,2567,0.0969999999999942,0.06799999999999784
