date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_cl,bid_ho,bid_co
2018-08-08 21:00:00,110.953,110.918,110.997,110.906,29718,0.09099999999999397,0.012000000000000455,0.04399999999999693,-0.03499999999999659
2018-08-08 22:00:00,110.918,110.877,110.939,110.86,5749,0.07899999999999352,0.016999999999995907,0.020999999999986585,-0.04100000000001103
2018-08-08 23:00:00,110.877,110.903,110.928,110.86,5008,0.06799999999999784,0.043000000000006366,0.05100000000000193,0.02600000000001046
2018-08-09 00:00:00,110.903,110.814,110.903,110.771,11093,0.132000000000005,0.042999999999992156,0.0,-0.08900000000001285
2018-08-09 01:00:00,110.814,110.807,110.85,110.748,8770,0.10199999999998965,0.0589999999999975,0.036000000000001364,-0.006999999999990791
2018-08-09 02:00:00,110.807,110.777,110.816,110.701,6838,0.1150000000000091,0.07600000000000762,0.009000000000000341,-0.030000000000001137
2018-08-09 03:00:00,110.777,110.799,110.846,110.775,5905,0.07099999999999795,0.02400000000000091,0.06900000000000261,0.02200000000000557
2018-08-09 04:00:00,110.799,110.917,110.929,110.741,4900,0.1880000000000024,0.17600000000000193,0.12999999999999545,0.117999999999995
2018-08-09 05:00:00,110.917,110.948,111.043,110.907,10994,0.1360000000000099,0.04099999999999682,0.12600000000000477,0.0309999999999917
2018-08-09 06:00:00,110.948,111.027,111.075,110.938,7719,0.13700000000000045,0.08899999999999864,0.12700000000000955,0.07900000000000773
2018-08-09 07:00:00,111.027,111.04,111.073,110.96,8640,0.11299999999999955,0.0800000000000125,0.04599999999999227,0.01300000000000523
2018-08-09 08:00:00,111.04,111.123,111.167,111.014,7847,0.1530000000000058,0.10900000000000887,0.12699999999999534,0.08299999999999841
2018-08-09 09:00:00,111.123,111.137,111.15,111.093,6307,0.05700000000000216,0.04399999999999693,0.027000000000001023,0.013999999999995794
2018-08-09 10:00:00,111.137,111.112,111.179,111.094,5764,0.08500000000000796,0.018000000000000682,0.04200000000000159,-0.025000000000005684
2018-08-09 11:00:00,111.112,111.13,111.136,111.094,4632,0.04200000000000159,0.036000000000001364,0.02400000000000091,0.018000000000000682
2018-08-09 12:00:00,111.13,110.982,111.154,110.971,9156,0.18299999999999272,0.01099999999999568,0.02400000000000091,-0.14799999999999613
2018-08-09 13:00:00,110.982,110.964,111.026,110.957,10325,0.06900000000000261,0.007000000000005002,0.04399999999999693,-0.018000000000000682
2018-08-09 14:00:00,110.964,110.914,110.97,110.848,11320,0.12199999999999989,0.0660000000000025,0.006000000000000227,-0.04999999999999716
2018-08-09 15:00:00,110.914,110.899,110.94,110.857,9542,0.08299999999999841,0.04200000000000159,0.02599999999999625,-0.015000000000000568
2018-08-09 16:00:00,110.899,110.996,110.998,110.892,6085,0.10600000000000875,0.1039999999999992,0.09900000000000375,0.0969999999999942
2018-08-09 17:00:00,110.996,110.979,111.051,110.963,5788,0.08800000000000807,0.016000000000005343,0.05500000000000682,-0.016999999999995907
2018-08-09 18:00:00,110.979,111.026,111.035,110.947,7419,0.08799999999999386,0.07899999999999352,0.055999999999997385,0.046999999999997044
